SR,K_norm
0.05,9.2023
0.10,1.8517
0.15,1.3303
0.20,1.4647
0.25,1.4821
0.30,1.4416
0.35,1.4864
0.40,1.4552
0.45,1.4269
0.50,1.3787
0.55,1.3543
0.60,1.2935
0.65,1.2788
0.70,1.2388
0.75,1.1833
0.80,1.1251
0.85,1.0597
0.90,1.0160
0.95,1.0031
1.00,1.0014
