SR,K_norm
0.05,-3221.3245
0.10,-1220.7930
0.15,-284.7168
0.20,-11.0699
0.25,0.8570
0.30,1.4461
0.35,1.5030
0.40,1.4926
0.45,1.4628
0.50,1.4253
0.55,1.3905
0.60,1.3662
0.65,1.3366
0.70,1.2733
0.75,1.1683
0.80,1.1151
0.85,1.1395
0.90,1.0241
0.95,1.0049
1.00,1.0002
